,selected_text,sentiment,text,textID
0,"I`d have responded, if I were going",neutral," I`d have responded, if I were going",cb774db0d1
1,Sooo SAD,negative, Sooo SAD I will miss you here in San Diego!!!,549e992a42
2,bullying me,negative,my boss is bullying me...,088c60f138
3,leave me alone,negative, what interview! leave me alone,9642c003ef
4,"Sons of ****,",negative," Sons of ****, why couldn`t they put them on the releases we already bought",358bd9e861
5,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,28b57f3990
6,fun,positive,2am feedings for the baby are fun when he is all smiles and coos,6e0c6d75b1
7,Soooo high,neutral,Soooo high,50e14c0bb8
8,Both of you,neutral, Both of you,e050245fbd
9,Wow... u just became cooler.,positive, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),fc2cbefa9d
10,"as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",2339a9b08b
11,like,positive,I really really like the song Love Story by Taylor Swift,16fab9f95b
12,DANGERously,negative,My Sharpie is running DANGERously low on ink,74a76f6e0a
13,lost,negative,i want to go to music tonight but i lost my voice.,04dd1d2e34
14,test test from the LG enV2,neutral,test test from the LG enV2,bbe3cbf620
15,"Uh oh, I am sunburned",negative,"Uh oh, I am sunburned",8a939bfb59
16,*sigh*,negative," S`ok, trying to plot alternatives as we speak *sigh*",3440297f8b
17,sick,negative,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",919fa93391
18,onna,negative,is back home now      gonna miss every one,af3fed7fc3
19,Hes just not that into you,neutral,Hes just not that into you,40e7becabf
20,"oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",04d17ef61e
21,interesting.,positive,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,e48b0b8a23
22,is cleaning the house for her family who is comming later today..,neutral,is cleaning the house for her family who is comming later today..,7de057cf40
23,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,9ce5570064
24,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,0c8cc71c46
25,"the free fillin` app on my ipod is fun, im addicted",positive,"the free fillin` app on my ipod is fun, im addicted",e00c6ef376
26,I`m sorry.,negative,  I`m sorry.,852edc3769
27,.no internet,negative,On the way to Malaysia...no internet access to Twit,bdc32ea43c
28,fun,positive,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,6ce4a4954b
29,Power back up not working too,negative,Went to sleep and there is a power cut in Noida  Power back up not working too,d22e6d40a7
30,Quite....heavenly,positive,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,d33f811375
31,hope,positive,i hope unni will make the audition . fighting dahye unni !,7d8c4c11e4
32,well so much for being unhappy for about 10 minute,negative, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,1c31703aef
33,funny.,positive, That`s very funny.  Cute kids.,2dc51711bc
34,"Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",d21ab5855b
35,"Thats it, its the end. Tears for Fears",neutral,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",4f5267ad70
36,miss,negative,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,2724775d6b
37,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",1cbc812ece
38,soooooo sleeeeepy!!!,negative,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,4b61dffbeb
39,A little happy fo,positive,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",2863f435bd
40,"Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",d93afa85cf
41,avid fan of,positive,im an avid fan of **** magazine and i love your magazines,fab6b7d16c
42,MAYDAY?!,neutral,MAYDAY?!,2e7082d1c8
43,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",684081e4e7
44,I love to!,positive, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,c77717b103
45,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,a9d499e123
46,SUCKKKKKK,negative,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,ddf296dffa
47,:visiting my friendster and facebook,neutral,:visiting my friendster and facebook,c3924dc9e4
48,dont like go,negative,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",3d9d4b0b55
49,d I`m not thrilled at all with mine.,negative, which case? I got a new one last week and I`m not thrilled at all with mine.,3fcea4debc
50,Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,a3ae670885
51,"also bored at school, its my third freelesson( freistunde )",neutral," also bored at school, its my third freelesson( freistunde )",15d5f3a41b
52,hm... Both of us I guess...,neutral, hm... Both of us I guess...,3c4a21b2cb
53,it is ****...u have dissappointed me that past few days,negative, it is ****...u have dissappointed me that past few days,11084dac09
54,romance zero is funny,positive, romance zero is funny,d8ba2a99a9
55,I`d rather do the early run..but I am a morning runner,neutral, I`d rather do the early run..but I am a morning runner,e77fd45003
56,hurts,negative,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,b159318d76
57,will be back later.,neutral,will be back later.  http://plurk.com/p/rp3k7,6086b1f016
58,Torn ace of hearts,negative,Aw. Torn ace of hearts  #Hunchback,703afdc44b
59,what fun are you speaking of?,neutral, what fun are you speaking of?,90f3d2b572
60,"i lost all my friends, i`m alone and sleepy..",negative,"i lost all my friends, i`m alone and sleepy..i wanna go home",52483f7da8
61,haha yes,neutral, haha yes,a4b0888da6
62,I give in to easily,negative,I give in to easily,2a9765b7f9
63,favorite,positive,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,90a2cdb657
64,jealous..,negative,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,98f25bc596
65,Is at a photoshoot.,neutral,Is at a photoshoot.,23e1f7dca4
66,s awesome,positive,  He`s awesome... Have you worked with him before? He`s a good friend.,95e12b1cb1
67,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,c34feef039
68,Chilliin,positive,Chilliin,fa2654e730
69,"If you know such agent, do let me know",neutral," If you know such agent, do let me know",187494c25b
70,I still smell of smoke  #kitchenfire,neutral,I still smell of smoke  #kitchenfire,4213627c3c
71,better,positive, a celtics-lakers rematch sounds better don`t you think? lol,a4e00d4d26
72,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",04e2e334de
73,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",0c4aa867d0
74,she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,a6c61eac26
75,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,94bd67443c
76,BADDD.,negative,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",35f393a245
77,My sources say no,neutral, My sources say no,b2c9f115b1
78,I am sooo tired,negative,I am sooo tired,0a61cbf4b5
79,"Hey, you change your twitter account, and you didn`t even tell me...",neutral," Hey, you change your twitter account, and you didn`t even tell me...",ee9ec7a5a4
80,THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,bbbc46889b
81,lucky,positive, lucky kid...i so wanna see loserville  pity im in oz....,58d382e07a
82,fell asleep waiting for my ride!,neutral,fell asleep waiting for my ride!,cb4d439ebc
83,Sick.,negative,Sick. With a flu like thing.,64ed512788
84,", sorry guys",negative,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",4cd390c007
85,Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,Happy Star Wars day everyone! and Enjoy the holiday (UK),3d2fcd78c8
86,Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,neutral, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,0c0563423e
